"månad" "år" "skilsmässor" "datum"
"1" "01" 2005 1445 2005-01-01
"2" "01" 2006 1499 2006-01-01
"3" "01" 2007 1563 2007-01-01
"4" "01" 2008 1572 2008-01-01
"5" "01" 2009 1361 2009-01-01
"6" "01" 2010 1433 2010-01-01
"7" "01" 2011 1641 2011-01-01
"8" "01" 2012 1731 2012-01-01
"9" "01" 2013 1910 2013-01-01
"10" "01" 2014 1817 2014-01-01
"11" "01" 2015 1572 2015-01-01
"12" "02" 2005 1726 2005-02-01
"13" "02" 2006 1705 2006-02-01
"14" "02" 2007 1837 2007-02-01
"15" "02" 2008 2094 2008-02-01
"16" "02" 2009 2008 2009-02-01
"17" "02" 2010 2138 2010-02-01
"18" "02" 2011 2118 2011-02-01
"19" "02" 2012 2119 2012-02-01
"20" "02" 2013 2349 2013-02-01
"21" "02" 2014 2299 2014-02-01
"22" "02" 2015 2312 2015-02-01
"23" "03" 2005 1859 2005-03-01
"24" "03" 2006 1970 2006-03-01
"25" "03" 2007 1924 2007-03-01
"26" "03" 2008 1873 2008-03-01
"27" "03" 2009 2141 2009-03-01
"28" "03" 2010 2274 2010-03-01
"29" "03" 2011 2363 2011-03-01
"30" "03" 2012 2239 2012-03-01
"31" "03" 2013 2104 2013-03-01
"32" "03" 2014 2300 2014-03-01
"33" "03" 2015 2286 2015-03-01
"34" "04" 2005 1640 2005-04-01
"35" "04" 2006 1657 2006-04-01
"36" "04" 2007 1678 2007-04-01
"37" "04" 2008 1813 2008-04-01
"38" "04" 2009 2075 2009-04-01
"39" "04" 2010 2068 2010-04-01
"40" "04" 2011 2201 2011-04-01
"41" "04" 2012 1934 2012-04-01
"42" "04" 2013 2379 2013-04-01
"43" "04" 2014 2411 2014-04-01
"44" "04" 2015 2168 2015-04-01
"45" "05" 2005 1837 2005-05-01
"46" "05" 2006 1788 2006-05-01
"47" "05" 2007 1843 2007-05-01
"48" "05" 2008 1978 2008-05-01
"49" "05" 2009 1592 2009-05-01
"50" "05" 2010 2240 2010-05-01
"51" "05" 2011 2029 2011-05-01
"52" "05" 2012 2222 2012-05-01
"53" "05" 2013 2496 2013-05-01
"54" "05" 2014 2210 2014-05-01
"55" "05" 2015 2088 2015-05-01
"56" "06" 2005 1868 2005-06-01
"57" "06" 2006 1770 2006-06-01
"58" "06" 2007 1941 2007-06-01
"59" "06" 2008 1894 2008-06-01
"60" "06" 2009 2041 2009-06-01
"61" "06" 2010 2241 2010-06-01
"62" "06" 2011 2186 2011-06-01
"63" "06" 2012 1964 2012-06-01
"64" "06" 2013 2089 2013-06-01
"65" "06" 2014 1999 2014-06-01
"66" "06" 2015 2116 2015-06-01
"67" "07" 2005 1681 2005-07-01
"68" "07" 2006 1843 2006-07-01
"69" "07" 2007 1935 2007-07-01
"70" "07" 2008 1983 2008-07-01
"71" "07" 2009 2345 2009-07-01
"72" "07" 2010 2296 2010-07-01
"73" "07" 2011 2067 2011-07-01
"74" "07" 2012 2194 2012-07-01
"75" "07" 2013 2568 2013-07-01
"76" "07" 2014 2513 2014-07-01
"77" "07" 2015 2343 2015-07-01
"78" "08" 2005 1580 2005-08-01
"79" "08" 2006 1699 2006-08-01
"80" "08" 2007 1714 2007-08-01
"81" "08" 2008 1667 2008-08-01
"82" "08" 2009 1497 2009-08-01
"83" "08" 2010 1843 2010-08-01
"84" "08" 2011 1983 2011-08-01
"85" "08" 2012 2101 2012-08-01
"86" "08" 2013 2187 2013-08-01
"87" "08" 2014 1868 2014-08-01
"88" "08" 2015 1717 2015-08-01
"89" "09" 2005 1704 2005-09-01
"90" "09" 2006 1718 2006-09-01
"91" "09" 2007 1660 2007-09-01
"92" "09" 2008 1851 2008-09-01
"93" "09" 2009 1988 2009-09-01
"94" "09" 2010 2070 2010-09-01
"95" "09" 2011 2033 2011-09-01
"96" "09" 2012 1932 2012-09-01
"97" "09" 2013 2032 2013-09-01
"98" "09" 2014 2094 2014-09-01
"99" "09" 2015 2028 2015-09-01
"100" "10" 2005 1855 2005-10-01
"101" "10" 2006 2020 2006-10-01
"102" "10" 2007 2035 2007-10-01
"103" "10" 2008 2088 2008-10-01
"104" "10" 2009 2316 2009-10-01
"105" "10" 2010 2213 2010-10-01
"106" "10" 2011 2034 2011-10-01
"107" "10" 2012 2417 2012-10-01
"108" "10" 2013 2516 2013-10-01
"109" "10" 2014 2416 2014-10-01
"110" "10" 2015 2185 2015-10-01
"111" "11" 2005 1878 2005-11-01
"112" "11" 2006 1869 2006-11-01
"113" "11" 2007 2002 2007-11-01
"114" "11" 2008 1866 2008-11-01
"115" "11" 2009 2098 2009-11-01
"116" "11" 2010 2185 2010-11-01
"117" "11" 2011 2122 2011-11-01
"118" "11" 2012 2262 2012-11-01
"119" "11" 2013 2212 2013-11-01
"120" "11" 2014 2117 2014-11-01
"121" "11" 2015 2055 2015-11-01
"122" "12" 2005 1674 2005-12-01
"123" "12" 2006 1747 2006-12-01
"124" "12" 2007 1680 2007-12-01
"125" "12" 2008 1901 2008-12-01
"126" "12" 2009 2072 2009-12-01
"127" "12" 2010 2150 2010-12-01
"128" "12" 2011 2107 2011-12-01
"129" "12" 2012 1890 2012-12-01
"130" "12" 2013 2091 2013-12-01
"131" "12" 2014 2099 2014-12-01
"132" "12" 2015 2006 2015-12-01
