"månad" "år" "skilsmässor"
"1" "januari" "2005" 1445
"2" "januari" "2006" 1499
"3" "januari" "2007" 1563
"4" "januari" "2008" 1572
"5" "januari" "2009" 1361
"6" "januari" "2010" 1433
"7" "januari" "2011" 1641
"8" "januari" "2012" 1731
"9" "januari" "2013" 1910
"10" "januari" "2014" 1817
"11" "januari" "2015" 1572
"12" "februari" "2005" 1726
"13" "februari" "2006" 1705
"14" "februari" "2007" 1837
"15" "februari" "2008" 2094
"16" "februari" "2009" 2008
"17" "februari" "2010" 2138
"18" "februari" "2011" 2118
"19" "februari" "2012" 2119
"20" "februari" "2013" 2349
"21" "februari" "2014" 2299
"22" "februari" "2015" 2312
"23" "mars" "2005" 1859
"24" "mars" "2006" 1970
"25" "mars" "2007" 1924
"26" "mars" "2008" 1873
"27" "mars" "2009" 2141
"28" "mars" "2010" 2274
"29" "mars" "2011" 2363
"30" "mars" "2012" 2239
"31" "mars" "2013" 2104
"32" "mars" "2014" 2300
"33" "mars" "2015" 2286
"34" "april" "2005" 1640
"35" "april" "2006" 1657
"36" "april" "2007" 1678
"37" "april" "2008" 1813
"38" "april" "2009" 2075
"39" "april" "2010" 2068
"40" "april" "2011" 2201
"41" "april" "2012" 1934
"42" "april" "2013" 2379
"43" "april" "2014" 2411
"44" "april" "2015" 2168
"45" "maj" "2005" 1837
"46" "maj" "2006" 1788
"47" "maj" "2007" 1843
"48" "maj" "2008" 1978
"49" "maj" "2009" 1592
"50" "maj" "2010" 2240
"51" "maj" "2011" 2029
"52" "maj" "2012" 2222
"53" "maj" "2013" 2496
"54" "maj" "2014" 2210
"55" "maj" "2015" 2088
"56" "juni" "2005" 1868
"57" "juni" "2006" 1770
"58" "juni" "2007" 1941
"59" "juni" "2008" 1894
"60" "juni" "2009" 2041
"61" "juni" "2010" 2241
"62" "juni" "2011" 2186
"63" "juni" "2012" 1964
"64" "juni" "2013" 2089
"65" "juni" "2014" 1999
"66" "juni" "2015" 2116
"67" "juli" "2005" 1681
"68" "juli" "2006" 1843
"69" "juli" "2007" 1935
"70" "juli" "2008" 1983
"71" "juli" "2009" 2345
"72" "juli" "2010" 2296
"73" "juli" "2011" 2067
"74" "juli" "2012" 2194
"75" "juli" "2013" 2568
"76" "juli" "2014" 2513
"77" "juli" "2015" 2343
"78" "augusti" "2005" 1580
"79" "augusti" "2006" 1699
"80" "augusti" "2007" 1714
"81" "augusti" "2008" 1667
"82" "augusti" "2009" 1497
"83" "augusti" "2010" 1843
"84" "augusti" "2011" 1983
"85" "augusti" "2012" 2101
"86" "augusti" "2013" 2187
"87" "augusti" "2014" 1868
"88" "augusti" "2015" 1717
"89" "september" "2005" 1704
"90" "september" "2006" 1718
"91" "september" "2007" 1660
"92" "september" "2008" 1851
"93" "september" "2009" 1988
"94" "september" "2010" 2070
"95" "september" "2011" 2033
"96" "september" "2012" 1932
"97" "september" "2013" 2032
"98" "september" "2014" 2094
"99" "september" "2015" 2028
"100" "oktober" "2005" 1855
"101" "oktober" "2006" 2020
"102" "oktober" "2007" 2035
"103" "oktober" "2008" 2088
"104" "oktober" "2009" 2316
"105" "oktober" "2010" 2213
"106" "oktober" "2011" 2034
"107" "oktober" "2012" 2417
"108" "oktober" "2013" 2516
"109" "oktober" "2014" 2416
"110" "oktober" "2015" 2185
"111" "november" "2005" 1878
"112" "november" "2006" 1869
"113" "november" "2007" 2002
"114" "november" "2008" 1866
"115" "november" "2009" 2098
"116" "november" "2010" 2185
"117" "november" "2011" 2122
"118" "november" "2012" 2262
"119" "november" "2013" 2212
"120" "november" "2014" 2117
"121" "november" "2015" 2055
"122" "december" "2005" 1674
"123" "december" "2006" 1747
"124" "december" "2007" 1680
"125" "december" "2008" 1901
"126" "december" "2009" 2072
"127" "december" "2010" 2150
"128" "december" "2011" 2107
"129" "december" "2012" 1890
"130" "december" "2013" 2091
"131" "december" "2014" 2099
"132" "december" "2015" 2006
