"skilsmässor" "datum"
"1" 1445 2005-01-01
"2" 1499 2006-01-01
"3" 1563 2007-01-01
"4" 1572 2008-01-01
"5" 1361 2009-01-01
"6" 1433 2010-01-01
"7" 1641 2011-01-01
"8" 1731 2012-01-01
"9" 1910 2013-01-01
"10" 1817 2014-01-01
"11" 1572 2015-01-01
"12" 1726 2005-02-01
"13" 1705 2006-02-01
"14" 1837 2007-02-01
"15" 2094 2008-02-01
"16" 2008 2009-02-01
"17" 2138 2010-02-01
"18" 2118 2011-02-01
"19" 2119 2012-02-01
"20" 2349 2013-02-01
"21" 2299 2014-02-01
"22" 2312 2015-02-01
"23" 1859 2005-03-01
"24" 1970 2006-03-01
"25" 1924 2007-03-01
"26" 1873 2008-03-01
"27" 2141 2009-03-01
"28" 2274 2010-03-01
"29" 2363 2011-03-01
"30" 2239 2012-03-01
"31" 2104 2013-03-01
"32" 2300 2014-03-01
"33" 2286 2015-03-01
"34" 1640 2005-04-01
"35" 1657 2006-04-01
"36" 1678 2007-04-01
"37" 1813 2008-04-01
"38" 2075 2009-04-01
"39" 2068 2010-04-01
"40" 2201 2011-04-01
"41" 1934 2012-04-01
"42" 2379 2013-04-01
"43" 2411 2014-04-01
"44" 2168 2015-04-01
"45" 1837 2005-05-01
"46" 1788 2006-05-01
"47" 1843 2007-05-01
"48" 1978 2008-05-01
"49" 1592 2009-05-01
"50" 2240 2010-05-01
"51" 2029 2011-05-01
"52" 2222 2012-05-01
"53" 2496 2013-05-01
"54" 2210 2014-05-01
"55" 2088 2015-05-01
"56" 1868 2005-06-01
"57" 1770 2006-06-01
"58" 1941 2007-06-01
"59" 1894 2008-06-01
"60" 2041 2009-06-01
"61" 2241 2010-06-01
"62" 2186 2011-06-01
"63" 1964 2012-06-01
"64" 2089 2013-06-01
"65" 1999 2014-06-01
"66" 2116 2015-06-01
"67" 1681 2005-07-01
"68" 1843 2006-07-01
"69" 1935 2007-07-01
"70" 1983 2008-07-01
"71" 2345 2009-07-01
"72" 2296 2010-07-01
"73" 2067 2011-07-01
"74" 2194 2012-07-01
"75" 2568 2013-07-01
"76" 2513 2014-07-01
"77" 2343 2015-07-01
"78" 1580 2005-08-01
"79" 1699 2006-08-01
"80" 1714 2007-08-01
"81" 1667 2008-08-01
"82" 1497 2009-08-01
"83" 1843 2010-08-01
"84" 1983 2011-08-01
"85" 2101 2012-08-01
"86" 2187 2013-08-01
"87" 1868 2014-08-01
"88" 1717 2015-08-01
"89" 1704 2005-09-01
"90" 1718 2006-09-01
"91" 1660 2007-09-01
"92" 1851 2008-09-01
"93" 1988 2009-09-01
"94" 2070 2010-09-01
"95" 2033 2011-09-01
"96" 1932 2012-09-01
"97" 2032 2013-09-01
"98" 2094 2014-09-01
"99" 2028 2015-09-01
"100" 1855 2005-10-01
"101" 2020 2006-10-01
"102" 2035 2007-10-01
"103" 2088 2008-10-01
"104" 2316 2009-10-01
"105" 2213 2010-10-01
"106" 2034 2011-10-01
"107" 2417 2012-10-01
"108" 2516 2013-10-01
"109" 2416 2014-10-01
"110" 2185 2015-10-01
"111" 1878 2005-11-01
"112" 1869 2006-11-01
"113" 2002 2007-11-01
"114" 1866 2008-11-01
"115" 2098 2009-11-01
"116" 2185 2010-11-01
"117" 2122 2011-11-01
"118" 2262 2012-11-01
"119" 2212 2013-11-01
"120" 2117 2014-11-01
"121" 2055 2015-11-01
"122" 1674 2005-12-01
"123" 1747 2006-12-01
"124" 1680 2007-12-01
"125" 1901 2008-12-01
"126" 2072 2009-12-01
"127" 2150 2010-12-01
"128" 2107 2011-12-01
"129" 1890 2012-12-01
"130" 2091 2013-12-01
"131" 2099 2014-12-01
"132" 2006 2015-12-01
